日语一级至四级级词汇表																
汉字	假名(读音)	词性	词义
先行	せんこう	名，サ変	先行、先走；已有的
専攻	せんこう	名，サ変	专业
選考	せんこう	名，サ変	选拔人才
宣告	せんこく	名，サ変	宣告；体育比赛的判定
全国	ぜんこく	名	全国
潜在	せんざい	名，サ変	潜在、潜伏
洗剤	せんざい	名	洗涤剂
先日	せんじつ	名	上次、前几天
選手	せんしゅ	名	选手
先週	せんしゅう	名	上周
選出	せんしゅつ	名，サ変	选出
戦術	せんじゅつ	名	战术
善処	ぜんしょ	名，サ変	妥善处理
煎じる	せんじる	他下一	煎、熬
先進	せんしん	名	先进
前進	ぜんしん	名，サ変	前进；进展
先生	せんせい	名	老师；对医生、律师、政治家的敬称
全盛	ぜんせい	名	全盛
全然	ぜんぜん	副	一点也不
先祖	せんぞ	名	祖先
戦争	せんそう	名	战争
喘息	ぜんそく	名	哮喘、喘息
全体	ぜんたい	名，副	全体；到底、究竟；本来
選択	せんたく	名，サ変	选择；选拔
洗濯	せんたく	名，サ変	洗涤
先端	せんたん	名	顶尖；最前列
前提	ぜんてい	名	前提
宣伝	せんでん	名，サ変	宣传；吹嘘、鼓吹
前途	ぜんと	名	前途；前面的路
先頭	せんとう	名	开始、先端
銭湯	せんとう	名	澡堂
戦闘	せんとう	名，サ変	战斗
専念	せんねん	名，サ変	专心致志；一心期盼
先輩	せんぱい	名	先辈、前辈、老资格；先入学或毕业的人、先参加工作的人
船舶	せんぱく	名	船舶
選抜	せんばつ	名，サ変	选拔
前半	ぜんはん	名	前半
全部	ぜんぶ	名	全部、整体上
選別	せんべつ	名，サ変	选择、挑选
全滅	ぜんめつ	名，サ変	全灭、全毁、全死
専門	せんもん	名	专业、专长、研究方向；专营、专卖
戦略	せんりゃく	名	战略
占領	せんりょう	名，サ変	占领、占据；垄断、霸占
善良	ぜんりょう	名	善良
全力	ぜんりょく	名	全力
洗練	せんれん	名，サ変	高雅、有教养的；精练
線路	せんろ	名	线路；轨道
粗悪	そあく	形動	简陋的
添う	そう	自五	陪伴；结为夫妇；吻合、能实现
沿う	そう	自五	沿着；遵照、按照
象	ぞう	名	大象
相違	そうい	名，サ変	不同、差异
相応	そうおう	名，形動，サ変	适合、相称
騒音	そうおん	名	嗓音
増加	ぞうか	名，サ変	增加
総会	そうかい	名	全体大会、全会
爽快	そうかい	形動	爽快
総画	そうかく	名	汉字的笔画
総括	そうかつ	名，サ変	总结、汇总
創刊	そうかん	名，サ変	创刊
早急	そうきゅう	名，形動，副	火速、赶快
増強	ぞうきょう	名，サ変	增强、强化
送金	そうきん	名，サ変	汇款
遭遇	そうぐう	名，サ変	遭遇、遇到
総計	そうけい	名，サ変	总计、总共
造詣	ぞうけい	名	造诣
相互	そうご	名，形動	相互
総合	そうごう	名，サ変	综合
相克	そうこく	名，サ変	相克
操作	そうさ	名，サ変	操作机器；运作资金
捜査	そうさ	名，サ変	搜查
創作	そうさく	名，サ変	文学创作；捏造
捜索	そうさく	名，サ変	搜索、搜查
掃除	そうじ	名，サ変	扫除、清扫、打扫
葬式	そうしき	名	葬仪
喪失	そうしつ	名，サ変	丧失
装飾	そうしょく	名，サ変	装饰
騒然	そうぜん	形動	骚然、吵吵闹闹；不稳定、不安定
早々	そうそう	名，副	匆忙；刚……就
創造	そうぞう	名，サ変	创造
想像	そうぞう	名，サ変	想象
相続	そうぞく	名，サ変	继承
早退	そうたい	名，サ変	早退
相談	そうだん	名，サ変	协商、商量
装置	そうち	名，サ変	设备、装备
相当	そうとう	名，サ変，形動，副	相配；相当于；相当程度
騒動	そうどう	名	骚动、暴乱、风潮；争吵、闹事
遭難	そうなん	名，サ変	遇难、遇险
雑煮	ぞうに	名	（日本过新年时吃的）年糕汤
相場	そうば	名	市价、时机；投机；一般的看法
装備	そうび	名，サ変	装备
送別	そうべつ	名，サ変	送别
総理大臣	そうりだいじん	名	首相、总理
創立	そうりつ	名，サ変	创立、筹立
僧侶	そうりょ	名	僧侣
添える	そえる	他下一	添加、补充；附加、附上
疎遠	そえん	名，形動	疏远
疎外	そがい	名，サ変	疏远、冷淡；排挤；异化
俗	ぞく	名，形動	普通、通俗；庸俗、低级；（佛）在家人、俗人
即座	そくざ	名	立即、马上
続出	ぞくしゅつ	名，サ変	连续发生、不断发生
促進	そくしん	名，サ変	促进、助长
属する	ぞくする	サ変	属于、隶属于；所属
属性	ぞくせい	名	属性
即席	そくせき	名	当场、现场；临时凑合
続続	ぞくぞく	副	陆续、纷纷、不断
速達	そくたつ	名，サ変	快件、快递
速度	そくど	名	速度
束縛	そくばく	名，サ変	抑制、束缚；限制、拘束
側面	そくめん	名	侧面；旁边、侧翼；方面；间接地
底	そこ	名	底部、底下；心底、内心；降到最低的物价或行情等
其処	そこ	代	指距对方较近的场所、那里、那儿；那一点
そこで	そこで	接続	于是、因此；那么
損なう	そこなう	他五	伤害、损害；有损于；错过、漏掉；险些
損ねる	そこねる	他下一	伤害、损害
粗雑	そざつ	形動	马虎、粗糙、粗枝大叶
阻止	そし	名，サ変	阻止、妨碍、阻碍
組織	そしき	名，サ変	组织、成立、结成；构成
素質	そしつ	名	素质、才能
そして	そして	接続	然后、于是
謗る，誹る	そしる	他五	诽谤、说人坏话
祖先	そせん	名	祖先
注ぐ	そそぐ	自他五	流入、汇入；落下、降下；浇、洒；灌、注入；灌溉；集中
唆す	そそのかす	他五	挑唆、挑拨、教唆
そそる	そそる	他五	激起、引起
育つ	そだつ	自五	成长、长大、发育；进步、长进
育てる	そだてる	他五	使……成长；促进发育、培养
措置	そち	名	措施、处理
そちら	そちら	代	那边；你；那个；那一位
卒業	そつぎょう	名，サ変	从学校毕业
素っ気無い	そっけない	形	冷淡、冷漠
率直	そっちょく	形動	坦率、直率
そっと	そっと	副	静悄悄地；小心翼翼地；偷偷地；不惊动、不管
卒倒	そっとう	名，サ変	昏倒、晕倒
袖	そで	名	袖子、衣袖；两侧的事物（如飞机的两翼、建筑物的侧厅、边房）
外	そと	名	外面；户外；外边、外面；外部；外表、脸上
備える	そなえる	他下一	准备；备置、备有；具备、具有
備わる	そなわる	自五	备置、备有；具备
其の	その	連体	那、哪个；那时、那件事
そのまま	そのまま	副	原原本本、原封不动的；就那样地；一模一样
側	そば	名	旁边；刚……之后、刚……不久
聳える	そびえる	自下一	高耸、耸立
祖父	そふ	名	祖父、爷爷、外公
祖母	そぼ	名	祖母、奶奶、外婆
素朴	そぼく	形動	朴素、淳朴、简单
粗末	そまつ	名	简陋；不爱惜、不珍惜
染まる	そまる	自五	染上；感染、沾染
背く	そむく	自五	违背、不遵从；违反；辜负
染める	そめる	他下一	染色；映成；着手；留下印象
そよそよ	そよそよ	副，サ変	（风）微微地吹
空	そら	名	天、空中；天气；心情；谎言、假话；背诵
逸らす	そらす	他五	转移、移向；错过、丢掉；岔开、分散
剃る	そる	他五	剃头、刮胡须
反る	そる	自五	翘起来、反翘；身体向后仰
それ	それ	代	那个；那件事；那时
それだけ	それだけ	副	那些、那么多；唯独那个；只有那些、只限于那些
それで	それで	接続	那么；因此；后来
逸れる	それる	自下一	偏离（目标、方向、话题）
揃う	そろう	自五	汇集、聚集；齐全、成套；整齐、一致
揃える	そろえる	他下一	使汇集、使聚集；使齐备、凑齐；摆整齐；使……一致、整齐
そろそろ	そろそろ	副	慢慢地、静悄悄地；渐渐地、一点点地；不久
損害	そんがい	名，サ変	损伤、损害；损失
尊敬	そんけい	名，サ変	尊敬
存在	そんざい	名，サ変	存在
ぞんざい	ぞんざい	形動	粗鲁、草率、不礼貌
損失	そんしつ	名	损失
損じる	そんじる	自上一	损失、损伤
存じる	ぞんじる	自，他上一	“思う、知る”的谦逊语（表示知道；想、认为等意思）
尊重	そんちょう	名，サ変	尊重、重视
損得	そんとく	名	损益、得失、利害
存分	ぞんぶん	副	充分、尽情
田	た	名	水田
他	た	名	其他（人、事、地方）；其他的
体育	たいいく	名	体育
第一	だいいち	名	第一、最初；主要；首先
退院	たいいん	名，サ変	出院
対応	たいおう	名，サ変	相当于、相应的；对付、应对
体温	たいおん	名	体温
退化	たいか	名，サ変	退化
大会	たいかい	名	大会；大型运动会
対外	たいがい	名	对外
大概	たいがい	名，副	大部分；速度；梗概、大概；大体
体格	たいかく	名	体格
大学	だいがく	名	大学
待機	たいき	名，サ変	等待时机、伺机
大気	たいき	名	大气、空气；度量大
大規模	だいきぼ	形動	大规模
代金	だいきん	名	贷款、价款
待遇	たいぐう	名	待遇、报酬、工资；接待、款待
退屈	たいくつ	形動	无聊、厌倦
体系	たいけい	名	体系
対決	たいけつ	名，サ変	决战、交锋
体験	たいけん	名，サ変	体验
太鼓	たいこ	名	鼓
対抗	たいこう	名，サ変	对立；竞争
大根	だいこん	名	萝卜；演技差
滞在	たいざい	名，サ変	停留、逗留；旅居
題材	だいざい	名	题材
対策	たいさく	名	对策、策略
第三者	だいさんしゃ	名	第三者、局外人
大使	たいし	名	大使
退治	たいじ	名，サ変	消灭、扑灭、惩治
大事	だいじ	名，形動	大事；重要、关键；贵重的、珍贵的
大した	たいした	連体	了不起；（下接否定）不算什么、不要紧
体質	たいしつ	名	体质；事物或组织的本质
大衆	たいしゅう	名	大众
体重	たいじゅう	名	体重
対処	たいしょ	名，サ変	处理、应付
対象	たいしょう	名	对象
対照	たいしょう	名，サ変	对比；比较
大正	たいしょう	名	大正
退場	たいじょう	名，サ変	退会、退席、退场
大丈夫	だいじょうぶ	形動	安全、放心；没关系、不要紧
退職	たいしょく	名，サ変	离职、退休
大臣	だいじん	名	大臣、中央政府的部长
対する	たいする	サ変	相对、面对；对于；对抗；对照、与……相比
大勢	たいせい	名	大势；大局
体制	たいせい	名	体制
耐性	たいせい	名	抗药性
態勢	たいせい	名	状态、准备
体積	たいせき	名	体积
大切	たいせつ	形動	重要、贵重；爱惜、珍重
体操	たいそう	名	体操；活动、运动
大体	だいたい	名，副	大体上、大概、概略；基本上、差不多；全部；本来、原来
大胆	だいたん	形動	大胆、有勇气；旁若无人的
大抵	たいてい	副	通常；大概、也许；适度、适当；普通
態度	たいど	名	态度、举止；看法、想法
対等	たいとう	形動	对等、不相上下、平等
台頭	たいとう	名，サ変	抬头、兴起
大統領	だいとうりょう	名	总统
台無し	だいなし	名，形動	告吹、弄坏了
滞納	たいのう	名，サ変	滞纳、拖欠、逾期未缴
退廃	たいはい	名，サ変	颓废、堕落
大半	たいはん	名	大半、大部分
代表	だいひょう	名，サ変	代表；典型的、有代表性的
大分	だいぶ	副	数量多、很、颇、相当地
大部分	だいぶぶん	名	大部分；基本上、差不多
大変	たいへん	形動	够受的、不得了、不简单；重大、严重；非常
